Unnamed: 0,Date,Open,High,Low,Close,Adj Close,PercentageChange,Difference,Volume,Currency,Month,MonthStr,Volatility,AverageVolatility
163,2021-06-12,0.3188929855823517,0.3193320035934448,0.3018040060997009,0.3120839893817901,0.3120839893817901,2.1817832481728967,0.0068089962005615,1605633791,DOGE,6,June,0.006808996200561579,15.96366805773642
164,2021-06-13,0.312485009431839,0.3300260007381439,0.3078919947147369,0.3243820071220398,0.3243820071220398,-3.667588654424007,-0.0118969976902008,1484851447,DOGE,6,June,-0.011896997690200806,15.96366805773642
165,2021-06-14,0.3239029943943023,0.3369269967079162,0.3200869858264923,0.3320850133895874,0.3320850133895874,-2.463832652901535,-0.008182018995285,1613812023,DOGE,6,June,-0.00818201899528509,15.96366805773642
166,2021-06-15,0.326784998178482,0.3304949998855591,0.3169760107994079,0.3283810019493103,0.3283810019493103,-0.4860219566157075,-0.0015960037708283,1687965230,DOGE,6,June,-0.0015960037708283026,15.96366805773642
167,2021-06-16,0.3203780055046081,0.3213930130004883,0.3054850101470947,0.307761013507843,0.307761013507843,4.099606981715229,0.012616991996765,1391720788,DOGE,6,June,0.012616991996765081,15.96366805773642
168,2021-06-17,0.3077490031719208,0.3140110075473785,0.3033159971237182,0.3064959943294525,0.3064959943294525,0.4088173632446898,0.0012530088424682,1120766442,DOGE,6,June,0.0012530088424682617,15.96366805773642
169,2021-06-18,0.3064279854297638,0.3077520132064819,0.2804810106754303,0.2934719920158386,0.2934719920158386,4.414729093884345,0.0129559934139251,1846213589,DOGE,6,June,0.012955993413925171,15.96366805773642
170,2021-06-19,0.2936489880084991,0.2978030145168304,0.2861889898777008,0.2873559892177582,0.2873559892177582,2.189966114112235,0.0062929987907409,1003248258,DOGE,6,June,0.006292998790740911,15.96366805773642
171,2021-06-20,0.2863940000534057,0.2897270023822784,0.2564670145511627,0.2809000015258789,0.2809000015258789,1.9558556417525137,0.0054939985275268,1963503800,DOGE,6,June,0.0054939985275268,15.96366805773642
172,2021-06-21,0.2806600034236908,0.2808890044689178,0.1664910018444061,0.1786909997463226,0.1786909997463226,57.06443179686037,0.1019690036773681,5640232167,DOGE,6,June,0.10196900367736819,15.96366805773642
173,2021-06-22,0.1786819994449615,0.2161220014095306,0.1646540015935897,0.1910309940576553,0.1910309940576553,-6.4643932120076535,-0.0123489946126938,5992850344,DOGE,6,June,-0.012348994612693814,15.96366805773642
174,2021-06-23,0.1906709969043731,0.2471099942922592,0.1809789985418319,0.2321739941835403,0.2321739941835403,-17.875816550908734,-0.0415029972791671,5098674891,DOGE,6,June,-0.041502997279167175,15.96366805773642
175,2021-06-24,0.2349700033664703,0.2686899900436401,0.2225269973278045,0.2627820074558258,0.2627820074558258,-10.583678981153517,-0.0278120040893554,3844648059,DOGE,6,June,-0.027812004089355497,15.96366805773642
176,2021-06-25,0.263480007648468,0.2891449928283691,0.230005994439125,0.2391529977321624,0.2391529977321624,10.172153452807846,0.0243270099163056,5542163262,DOGE,6,June,0.024327009916305625,15.96366805773642
